name,encoder,decoder,accuracy,best_val_accuracy,steps,reservoir_dim,spike_rate,spike_participation,active_unit_fraction,spike_selective_fraction,mean_spike_selectivity,temporal_center_of_mass,temporal_burst_ratio,spike_fisher_ratio,membrane_fisher_ratio,spike_centroid_accuracy,membrane_centroid_accuracy,weight_mean,weight_std,weight_skew,weight_kurtosis,spectral_norm,frobenius_norm,stable_rank,effective_rank,spectral_entropy,top1_energy,top5_energy,spectral_radius,non_normality,reciprocity,symmetric_energy,row_norm_cv,column_norm_cv,top_edge_reciprocity,stable_rank_shuffle_mean,stable_rank_shuffle_std,stable_rank_shuffle_z,effective_rank_shuffle_mean,effective_rank_shuffle_std,effective_rank_shuffle_z,top1_energy_shuffle_mean,top1_energy_shuffle_std,top1_energy_shuffle_z,spectral_radius_shuffle_mean,spectral_radius_shuffle_std,spectral_radius_shuffle_z,non_normality_shuffle_mean,non_normality_shuffle_std,non_normality_shuffle_z,reciprocity_shuffle_mean,reciprocity_shuffle_std,reciprocity_shuffle_z,row_norm_cv_shuffle_mean,row_norm_cv_shuffle_std,row_norm_cv_shuffle_z,top_edge_reciprocity_shuffle_mean,top_edge_reciprocity_shuffle_std,top_edge_reciprocity_shuffle_z
mlp_patch__all_state_mlp,mlp_patch,all_state_mlp,0.978,0.987,16,64,0.014665364583333333,0.13421903464941667,0.3489583333333333,0.3582089552238806,0.48418884991632194,0.448768778961149,4.562729207272451,0.7050096581287045,1.2395827553763528,0.9,0.916,-0.014224267564713955,0.08427105844020844,-0.01417634543031454,0.5948166847229004,1.977830171585083,5.469638425324308,7.6478471755981445,25.659645363556415,0.7802382210457767,0.13075575232505798,0.44923317432403564,0.8631142377853394,0.26648274064064026,0.023907763280523867,0.5405241250991821,0.09704027324914932,0.29980573058128357,0.09925558312655088,15.253145046234131,0.689219904034586,-11.034646309712992,38.03322738295757,0.3792450978134808,-32.626873994523436,0.06569327421486378,0.003008732579055234,21.624546682252614,0.8986980390548706,0.08117769333986498,-0.43834457232670104,0.1783667576313019,0.002946270139746536,29.907638753355755,0.005128649933148435,0.024323970047200712,0.772041459964575,0.10156965866684914,0.009008005095646162,-0.5028178125575221,0.09488833746898263,0.018477845157541868,0.23635037637414763
mlp_patch__lif_count,mlp_patch,lif_count,0.978,0.9804,16,64,0.011961588541666667,0.11624475255488564,0.3333333333333333,0.5,0.5032922119394737,0.4666811003965385,4.990941341512858,0.6432746862069676,2.024492551660263,0.896,0.968,0.0014588277554139495,0.08122418075799942,-0.0704694390296936,0.5478949546813965,2.312778949737549,5.199185733131454,5.053618431091309,17.3122145598711,0.6856197298991413,0.19787801802158356,0.5970961451530457,0.7604309916496277,0.3793880343437195,0.025477909089658562,0.5258694291114807,0.15157365798950195,0.2436964213848114,0.0794044665012407,16.88341917037964,0.704273240928107,-16.797174806327664,38.5110023084835,0.41795020952241085,-50.720844889242,0.05933279655873776,0.00252618098954627,54.84374319819819,0.681411544084549,0.02396819995467722,3.2968453081374873,0.17912984699010848,0.003166143080124274,63.24988551867678,0.003370758774792902,0.024896871448245615,0.8879489280739916,0.09787702426314354,0.00875914248256333,6.130352809450394,0.1004466501240695,0.016090928888847424,-1.307704717868282
lif_2x2__linear,lif_2x2,linear,0.898,0.9125,196,64,0.016223533288294373,0.26698247639977435,0.5,0.08333333333333333,0.19234189005509406,0.39720429130796014,7.942274552872317,0.4057442246701906,0.9398028585421484,0.692,0.784,-0.00010552062303759158,0.016948696225881577,-0.3853661119937897,24.46115493774414,0.7503851056098938,1.0847375401126143,2.0896854400634766,3.8095258955406304,0.32160191034974883,0.47854089736938477,0.9534479379653931,0.13685864210128784,0.8283495903015137,-0.007309015772360757,0.5045480728149414,0.39000338315963745,1.667891025543213,0.1141439205955335,12.7950221824646,1.5574904065344248,-6.873452765735867,34.57397380572186,0.970003680070016,-31.715805354429808,0.07933786913752555,0.010016965392258234,39.85269116936247,0.14520454853773118,0.013744995499198982,-0.6071960108629876,0.2074015337228775,0.009090128493038571,68.31015172713701,-0.0011236653249118837,0.02149304736201806,-0.28778378157670936,0.3052206337451935,0.021342857689918383,3.972417876097837,0.0987593052109181,0.019781363244670266,0.7777328182252812
lif_2x2__membrane_mlp,lif_2x2,membrane_mlp,0.914,0.9336,196,64,0.01662563788285964,0.28399776125112236,0.5104166666666666,0.11224489795918367,0.22924248928515165,0.41721580855049867,7.598840424707268,0.43041768696402777,0.8835405518977972,0.7,0.792,0.0035027330741286278,0.04646720364689827,3.7013330459594727,62.72196960449219,2.7971701622009277,2.982338255263986,1.1367789506912231,1.6566218045494152,0.12137404711967612,0.87967848777771,0.9911864995956421,0.3949684500694275,1.2447786331176758,-0.005909571368457771,0.5080698132514954,0.4031500220298767,3.547569751739502,0.1141439205955335,10.935961437225341,1.468829136452219,-6.671424363355747,28.18858884330408,1.883937600900612,-14.083251497327256,0.09304788649082184,0.012356360781294961,63.66199686219006,0.4028880774974823,0.06383998672709405,-0.12405434014123413,0.24503711372613907,0.019696434919042993,50.75748598671337,-0.0034939250761208285,0.020831272130579493,-0.11596249509845671,0.582549267411232,0.04814327977733569,-3.726361108156381,0.09846153846153845,0.016877619018919827,0.9291821385715059
lif_2x2__spike_mlp,lif_2x2,spike_mlp,0.572,0.6168,196,64,0.2477083865194921,0.6045316410785391,0.9791666666666666,0.03723404255319149,0.1370215182971277,0.4890407386138395,2.0859891172295963,0.5787494218664709,0.5418565160961449,0.32,0.392,-0.010059001855552197,0.23103217780590057,-0.6637588143348694,8.99729061126709,10.839109420776367,14.800068334473261,1.8644049167633057,5.3849077917827906,0.4048202735099667,0.5363641381263733,0.8815557360649109,3.005770444869995,0.750237762928009,0.03020108748817793,0.5202434062957764,0.5965126752853394,0.6370941996574402,0.034739454094292806,15.120749435424806,0.9133572414167548,-14.513865897749834,36.91655512080775,0.609635789535616,-51.722106658212894,0.06637343280017376,0.004055263906329477,115.89645364205165,1.9468838572502136,0.09686746092190904,10.93129289796722,0.18981588989496231,0.00486061624865306,115.29852273121683,-0.007164723783744144,0.019616190986261304,1.9048454054149537,0.2049962869286537,0.016512242200724458,23.71067378962672,0.09786600496277917,0.014736996882406813,-4.283542391452055
lif_2x2__both_mlp,lif_2x2,both_mlp,0.91,0.9256,196,64,0.012929634456915664,0.249743026120623,0.4635416666666667,0.07865168539325842,0.18982179107076327,0.42128164064621393,8.612390900642007,0.4508839701972523,0.9056185837201227,0.676,0.792,0.002385981846600771,0.03337020054459572,2.8190433979034424,35.355472564697266,2.0325772762298584,2.141145072187732,1.1096807718276978,1.6202387890315264,0.11603440860106928,0.9011601209640503,0.9906421899795532,0.13660670816898346,1.2752277851104736,-0.0004813468051253373,0.5035507082939148,0.46869924664497375,2.8568947315216064,0.04466501240694789,12.12759973526001,1.2281429131668362,-8.97120265509002,31.68191809843773,1.2323859251778528,-24.393072571863257,0.08326571509242058,0.008224084262010533,99.45112182881259,0.284914488196373,0.031212034827194833,-4.751621637246476,0.22317344903945924,0.011480070241843285,91.64180304719916,-0.0010671959374500234,0.018982298373719623,0.030862918746223864,0.43835368514060974,0.03287690765773996,0.9230053452797893,0.09667493796526055,0.017660004227652903,-2.945068692388701
lif_2x2__all_state_mlp,lif_2x2,all_state_mlp,0.94,0.951,196,64,0.004391847377754554,0.17407567020154965,0.359375,0.08695652173913043,0.34277750569604126,0.4447947712043875,9.435061661185546,0.5926103889752088,1.0306434767181447,0.748,0.62,-0.06914377212524414,0.14542479813098907,-0.3014482259750366,0.8113613128662109,6.186596870422363,10.305635884381193,2.7748913764953613,13.715802450799337,0.6296278542056893,0.36037448048591614,0.6676011681556702,4.652783393859863,0.38589468598365784,0.11282716406532996,0.6495357751846313,0.2708077132701874,0.2207399159669876,0.1588089330024814,4.761681022644043,0.0685661811799289,-28.97623306357139,29.55007141208284,0.30057789650571404,-52.679419030342736,0.21005270451307298,0.0030359300852758953,49.514241682275895,4.425238170623779,0.029391559695733625,7.74185601552522,0.17434923619031906,0.005019384676645706,42.14569382928982,-0.0007789704818165816,0.019964614762059674,5.690374490122454,0.10542253226041794,0.00989511758528801,16.713816645864114,0.09955334987593051,0.01849877891951883,3.2032159195128203
lif_2x2__lif_count,lif_2x2,lif_count,0.864,0.902,196,64,0.003313669232282943,0.0572655183690145,0.2916666666666667,0.39285714285714285,0.4439840364695277,0.5335870253826713,14.27744764883215,0.1442392543870032,0.3482019290664196,0.176,0.44,0.0036279945634305477,0.06504836678504944,-0.3304266929626465,3.6718239784240723,2.0542566776275635,4.169565311526486,4.119761943817139,13.019310366522015,0.6170968542985233,0.2427324652671814,0.6796092987060547,0.6012710332870483,0.4448016583919525,0.028643369604846255,0.5241817235946655,0.26058289408683777,0.4620755612850189,0.09925558312655088,15.983736190795899,0.7350430813238259,-16.140515499597015,37.900954964827804,0.46128750639382177,-53.939558850881205,0.06269684836268424,0.002965177034051817,60.71665024954155,0.556283563375473,0.026251880098677013,1.7136856386085086,0.18308049082756042,0.003374677733848608,77.55441799354143,0.0008546644417048374,0.02316788924186792,1.1994491545187025,0.14024092718958855,0.009689375171186376,12.41999249395505,0.096575682382134,0.020988579628583727,0.12768375906520119
cnn2__linear,cnn2,linear,0.982,0.9905,49,64,0.007940688722747533,0.1418893970923956,0.375,0.375,0.48981678359696496,0.47603256640860536,7.544911714852055,0.8913411134706545,2.623548904399548,0.912,0.968,-0.0015610783593729138,0.05677863210439682,-0.07760923355817795,1.0154743194580078,1.8155651092529297,3.635205602485074,4.008984088897705,15.174163929745673,0.65392418725838,0.2494397610425949,0.649512529373169,0.6865692734718323,0.4410238265991211,-0.014169770282995677,0.5017232298851013,0.12892961502075195,0.42631691694259644,0.08933002481389578,16.727828998565673,0.7615001656117611,-16.702353438689165,38.32529491753703,0.4401031928361971,-52.603869648380446,0.05990436799824238,0.002779560701223284,68.18897423644609,0.4841126066446304,0.03056777735837429,6.623205359474304,0.17968229711055755,0.004090701744339062,63.88672306657954,-0.0024377663858669435,0.022956108646519837,-0.5110623964095637,0.10810873076319695,0.00844135405294777,2.466533701460399,0.09776674937965263,0.019318577232809234,-0.43671562683345777
cnn2__membrane_mlp,cnn2,membrane_mlp,0.99,0.9912,49,64,0.012389030585065484,0.17991359271746724,0.375,0.2222222222222222,0.458085092492546,0.5202162898901067,7.087916769607075,1.0665141833667886,2.5199239769933017,0.908,0.964,0.004027173854410648,0.06338219344615936,-0.018714696168899536,0.4381675720214844,1.885361909866333,4.064640361647172,4.647878646850586,20.61697860894335,0.7276268363376841,0.21515190601348877,0.5405351519584656,0.5540872812271118,0.3601309359073639,-0.03783730163763639,0.49186086654663086,0.13197371363639832,0.2832670509815216,0.09925558312655088,17.018580493927,0.8297062836483078,-14.90973624145777,38.634384630162714,0.3819182889313111,-47.1760754679644,0.058899734318256375,0.0029444284800857587,53.0670630147829,0.5376151698827744,0.03202687940840684,0.5143214589933992,0.17755986839532853,0.003114444149491771,58.62075502038723,-0.0022469475807322605,0.021554422718666304,-1.651185676435797,0.09742089852690697,0.009301892244738532,3.714600664078387,0.09498759305210916,0.02185210525060586,0.19531253513083752
cnn2__spike_mlp,cnn2,spike_mlp,0.956,0.969,49,64,0.15400956739807345,0.49875330919457733,0.96875,0.22580645161290322,0.32188914296057686,0.6147456154412838,2.7818875275712034,1.714917594408598,3.5100700304327717,0.828,0.808,-0.029381034895777702,0.13550592958927155,-0.17778322100639343,4.289334774017334,4.781509876251221,8.873894851003147,3.444279909133911,10.773421292211593,0.5715674285152097,0.2903364598751068,0.7427470684051514,2.136216640472412,0.43458694219589233,0.08542749125477395,0.5879492163658142,0.3675604462623596,0.3161928057670593,0.17369727047146402,12.545989799499512,0.6509183850893641,-13.982874195688964,36.83600498619858,0.39669314667693695,-65.69960664133202,0.07991843983530998,0.004170458359862219,50.454410974324766,1.8801858687400819,0.11067093616012762,2.3134418178399097,0.18243003129959107,0.0041387314795113235,60.92613452807874,0.0007121835144994589,0.018096775562645988,4.681237684968448,0.1510852786898613,0.00995793024427115,21.738972081777497,0.09776674937965261,0.019781363244670266,3.838487780273158
cnn2__both_mlp,cnn2,both_mlp,0.988,0.9916,49,64,0.011984481270328008,0.16590861765380163,0.3854166666666667,0.24324324324324326,0.4561231263064,0.5252242494297519,6.915580795947144,1.0041086291170767,2.369527715849359,0.9,0.96,0.0036515151150524616,0.07127146422863007,0.14470021426677704,0.8370499610900879,2.109851598739624,4.567356399091094,4.686255931854248,17.825627497103028,0.6926468263582951,0.21338997781276703,0.6076176166534424,0.673275887966156,0.38658154010772705,-0.022127106342671808,0.5053799748420715,0.1265682727098465,0.3170793652534485,0.12406947890818859,16.80811918258667,0.8023997765435388,-15.107012246375769,38.46219182860664,0.43523015448715713,-47.41529078062205,0.05962725088000297,0.002830635204568787,54.32092651309618,0.6042006039619445,0.028244597452524944,2.4456104966734604,0.17901807337999343,0.0036169071264341825,57.38700482817352,-0.0009842942078633877,0.02287553948897426,-0.9242541425088141,0.10092708185315132,0.008171056397610399,3.1380508968453418,0.10114143920595535,0.018155407168478237,1.262876645479003
cnn2__all_state_mlp,cnn2,all_state_mlp,0.988,0.9915,49,64,0.00658715981025792,0.12238087985033366,0.3697916666666667,0.49295774647887325,0.536717584304225,0.531188078274889,7.170906220982273,1.0151005452552504,2.199678053407957,0.928,0.956,-0.03722178563475609,0.09572204947471619,0.06651638448238373,0.2352750301361084,3.466249465942383,6.573074395352295,3.5959818363189697,19.581697095668353,0.7152389833235863,0.27808818221092224,0.5539302229881287,2.559462547302246,0.3070752024650574,0.08795788150559486,0.6130121350288391,0.15723370015621185,0.18016189336776733,0.1141439205955335,6.27769811630249,0.13675595407354452,-19.609502914522825,32.90397556845706,0.4031088007893938,-33.04884052816548,0.15936831146478653,0.003479434336575824,34.12045156252903,2.3830210065841673,0.036801800448358075,4.794372518966007,0.1759144389629364,0.005352294073144786,24.505522624442857,0.0015158566522760558,0.025412354405804888,3.4015748195914126,0.08849386811256409,0.008807518423344114,7.804676497917337,0.09796526054590572,0.021847504419905843,0.7405266861915343
cnn2__lif_count,cnn2,lif_count,0.986,0.9905,49,64,0.012813988070721583,0.17747103601629072,0.3854166666666667,0.21621621621621623,0.43698840218853247,0.5420641130143252,6.529785162375025,0.9127962606606562,2.3791311062697362,0.924,0.976,0.004696541000157595,0.0862496942281723,-0.07192903012037277,0.12072134017944336,2.2115094661712646,5.528158067223742,6.248608112335205,16.929508599890045,0.6802446987841757,0.160035640001297,0.606756865978241,1.3744075298309326,0.3565573990345001,0.07172659293310807,0.5508444309234619,0.11152786761522293,0.19094151258468628,0.10918114143920596,17.067297744750977,0.7555522044208034,-14.31891743431447,38.55724370368189,0.5315287914801224,-40.689677493416944,0.05870579518377781,0.002635666817003967,38.445619971307124,0.735103245973587,0.033294342836389344,19.201588900520733,0.17789640843868257,0.003749921618926669,47.643926660780515,-0.009444697350351946,0.02314822258052606,3.5065884648848633,0.08878450199961663,0.007209982310486053,3.154427380845139,0.10143920595533498,0.0179960717342277,0.4302014127419915
cnn3__linear,cnn3,linear,0.992,0.9936,49,64,0.015321641193683415,0.17362982046359315,0.546875,0.5523809523809524,0.6161669314623475,0.4537914039679903,6.635965270433146,1.4050146463521094,3.8847794315743047,0.948,0.972,0.004453744739294052,0.08403176069259644,0.08401476591825485,1.3165583610534668,2.564984083175659,5.385580959310436,4.408549785614014,14.797517620003864,0.64788054492441,0.22683195769786835,0.6511082649230957,0.7752960920333862,0.42078855633735657,0.0005313052320120503,0.5096355080604553,0.11329904198646545,0.4286176860332489,0.10421836228287841,16.52433624267578,0.835683906964476,-14.498049269694498,38.31577076212349,0.4810558058632864,-48.88882507075155,0.060672180578112606,0.003143413117115304,52.859669069600315,0.7065294659137726,0.036054208240981586,1.9073120579985146,0.18000660926103593,0.0035785672322442602,67.28445532803832,0.005377699674422405,0.02230169816705362,-0.2173105566270263,0.1115576158463955,0.010328485106726572,0.1686042165986018,0.10084367245657568,0.01551458843427429,0.21751719941519604
