model_a,model_b,group,accuracy_difference,spike_rate_difference,spike_cka,membrane_cka,membrane_last_cka,temporal_cka,prediction_agreement,digit_geometry_correlation,recurrent_correlation,spectrum_cosine,centered_spectrum_cosine,shuffled_spectrum_cosine,sorted_activity_correlation
lif_2x2__membrane_mlp,cnn2__linear,different_encoder_and_decoder,0.06799999999999995,0.008684949160112108,0.262214736033643,0.4690608829834029,0.5319923428722085,0.12317197799639383,0.92,0.35410452273687876,-0.010565954558824274,0.7126302123069763,0.7202584743499756,0.9817749857902527,0.9762718261431521
lif_2x2__membrane_mlp,cnn2__membrane_mlp,same_decoder,0.07599999999999996,0.004236607297794157,0.20079987200536287,0.4942740206127825,0.5564056126933001,0.28023641012671935,0.924,0.39563678490755405,0.0018070811973467146,0.6596816778182983,0.668280303478241,0.9806646704673767,0.9884391221054862
lif_2x2__membrane_mlp,cnn2__spike_mlp,different_encoder_and_decoder,0.041999999999999926,0.1373839295152138,0.26631919843720936,0.2630680450190092,0.38188788045045163,0.3101908936379848,0.9,0.26521284276125884,-0.02030645853774049,0.7548278570175171,0.7490142583847046,0.9858806729316711,0.9473093949180648
lif_2x2__membrane_mlp,cnn2__both_mlp,different_encoder_and_decoder,0.07399999999999995,0.0046411566125316335,0.2602386524689308,0.45898240222004555,0.5276541712509466,0.22206915963069015,0.918,0.37906567399709423,0.0019471638022115006,0.6759487986564636,0.6804683804512024,0.981278121471405,0.9857597892663869
lif_2x2__membrane_mlp,cnn2__all_state_mlp,different_encoder_and_decoder,0.07399999999999995,0.010038478072601721,0.23398678220105093,0.44411134065202273,0.520313266677877,0.2977866767974228,0.922,0.3387389848395279,0.010985225147154195,0.7051345109939575,0.6174532771110535,0.9799010753631592,0.9726533720925795
lif_2x2__membrane_mlp,cnn2__lif_count,different_encoder_and_decoder,0.07199999999999995,0.0038116498121380585,0.19503931800183225,0.4025590171599739,0.44145821217139164,0.1732766829323006,0.918,0.23829996647096638,0.017743268923297327,0.6262880563735962,0.637046217918396,0.98091721534729,0.987685471338865
lif_2x2__membrane_mlp,cnn3__linear,different_encoder_and_decoder,0.07799999999999996,0.0013039966891762265,0.26023124730090597,0.4035000756878103,0.49906717293170455,0.14459618948284347,0.922,0.264251711071684,0.06823379181048733,0.6934733986854553,0.7001869678497314,0.9817823171615601,0.9953585124249389
lif_2x2__membrane_mlp,cnn3__membrane_mlp,same_decoder,0.07399999999999995,0.0007693451613255686,0.21367641494238146,0.41758570180985477,0.5054269101036969,0.2013368558663202,0.922,0.3691942984412161,-0.0011249380181825662,0.6877917647361755,0.6938998103141785,0.9815832376480103,0.9964653041709619
lif_2x2__membrane_mlp,cnn3__spike_mlp,different_encoder_and_decoder,0.07199999999999995,0.16159438860933975,0.24880635334497195,0.4149377640150186,0.4626469926893067,0.2635492993805538,0.92,0.40732694648169115,-0.011914273795858205,0.8024284243583679,0.8161922693252563,0.9846580624580383,0.9297762450842607
lif_2x2__membrane_mlp,cnn3__both_mlp,different_encoder_and_decoder,0.07799999999999996,0.003322491465131555,0.2172501110852,0.4505940604112897,0.5176751754461665,0.16388507332995367,0.922,0.39053456349348675,0.010070710796772145,0.738434374332428,0.7438490390777588,0.9823903441429138,0.9923438233850038
