label,synset,name,support,702k_top1_accuracy,702k_top5_accuracy,702k_top10_accuracy,702k_mean_loss,702k_mean_true_rank,702k_precision,702k_recall,702k_f1,2048unit_top1_accuracy,2048unit_top5_accuracy,2048unit_top10_accuracy,2048unit_mean_loss,2048unit_mean_true_rank,2048unit_precision,2048unit_recall,2048unit_f1,ensemble_top1_accuracy,ensemble_top5_accuracy,ensemble_top10_accuracy,ensemble_mean_loss,ensemble_mean_true_rank,ensemble_precision,ensemble_recall,ensemble_f1,small_minus_large_top1_accuracy,ensemble_minus_small_top1_accuracy,small_minus_large_top5_accuracy,ensemble_minus_small_top5_accuracy,small_minus_large_top10_accuracy,ensemble_minus_small_top10_accuracy,small_minus_large_mean_loss,ensemble_minus_small_mean_loss
20,n02002724,"black stork, Ciconia nigra",49,0.6122448979591837,0.7755102040816326,0.8979591836734694,1.6201931928349989,4.795918367346939,0.5,0.6122448979591837,0.5504587155963303,0.4489795918367347,0.7142857142857143,0.8367346938775511,2.4225978470329514,7.673469387755102,0.4583333333333333,0.4489795918367347,0.4536082474226803,0.6122448979591837,0.8367346938775511,0.8979591836734694,1.7162804938129297,5.6938775510204085,0.6,0.6122448979591837,0.6060606060606062,0.163265306122449,0.0,0.061224489795918324,0.061224489795918435,0.061224489795918324,0.0,-0.8024046541979526,0.09608730097793083
21,n02056570,"king penguin, Aptenodytes patagonica",50,0.58,0.68,0.78,2.265672477659636,14.22,0.7073170731707317,0.58,0.6373626373626374,0.6,0.74,0.78,2.075351385089309,12.14,0.5,0.6,0.5454545454545454,0.64,0.72,0.78,2.022509953473698,12.02,0.6153846153846154,0.64,0.6274509803921569,-0.020000000000000018,0.06000000000000005,-0.05999999999999994,0.039999999999999925,0.0,0.0,0.19032109257032737,-0.2431625241859381
22,n02058221,"albatross, mollymawk",50,0.7,0.8,0.88,1.6075905247042053,4.56,0.6363636363636364,0.7,0.6666666666666666,0.62,0.88,0.88,1.5285738460036822,6.02,0.62,0.62,0.62,0.76,0.84,0.92,1.3626096831155206,4.22,0.7037037037037037,0.76,0.7307692307692308,0.07999999999999996,0.06000000000000005,-0.07999999999999996,0.039999999999999925,0.0,0.040000000000000036,0.07901667870052309,-0.24498084158868472
23,n02074367,"dugong, Dugong dugon",50,0.76,0.94,0.98,0.829317307849148,1.98,0.6909090909090909,0.76,0.7238095238095238,0.82,0.88,0.94,0.8882495306122674,2.56,0.6119402985074627,0.82,0.7008547008547008,0.82,0.9,0.96,0.739382964660716,1.98,0.6307692307692307,0.82,0.7130434782608696,-0.05999999999999994,0.05999999999999994,0.05999999999999994,-0.039999999999999925,0.040000000000000036,-0.020000000000000018,-0.05893222276311938,-0.08993434318843208
24,n02085620,Chihuahua,49,0.1224489795918367,0.4285714285714285,0.5714285714285714,4.10095682609413,16.26530612244898,0.1333333333333333,0.1224489795918367,0.1276595744680851,0.0612244897959183,0.2244897959183673,0.5306122448979592,4.412165286694939,20.020408163265305,0.1,0.0612244897959183,0.0759493670886076,0.1428571428571428,0.3469387755102041,0.5510204081632653,4.0599186111628125,18.163265306122447,0.175,0.1428571428571428,0.1573033707865168,0.06122448979591841,0.02040816326530609,0.2040816326530612,-0.08163265306122441,0.04081632653061218,-0.020408163265306145,-0.31120846060080876,-0.04103821493131754
25,n02094433,Yorkshire terrier,50,0.66,0.88,0.96,1.47812189477713,3.22,0.4583333333333333,0.66,0.540983606557377,0.6,0.84,0.92,1.5757374723161033,4.22,0.4,0.6,0.48,0.66,0.92,0.94,1.332866460577309,3.42,0.4230769230769231,0.66,0.515625,0.06000000000000005,0.0,0.040000000000000036,0.040000000000000036,0.039999999999999925,-0.020000000000000018,-0.09761557753897332,-0.1452554341998209
26,n02099601,golden retriever,50,0.44,0.76,0.84,2.44035679101082,7.2,0.34375,0.44,0.3859649122807018,0.26,0.66,0.78,3.1910572391457315,14.2,0.3421052631578947,0.26,0.2954545454545454,0.36,0.7,0.8,2.547257432811763,8.28,0.36,0.36,0.36,0.18,-0.08000000000000002,0.09999999999999998,-0.06000000000000005,0.05999999999999994,-0.039999999999999925,-0.7507004481349115,0.10690064180094305
27,n02099712,Labrador retriever,50,0.2,0.62,0.82,3.022985193282519,9.3,0.2439024390243902,0.2,0.2197802197802197,0.08,0.46,0.68,3.6350829477314033,13.84,0.1481481481481481,0.08,0.1038961038961038,0.16,0.52,0.74,3.1189323414578936,10.54,0.2580645161290322,0.16,0.1975308641975308,0.12000000000000001,-0.04000000000000001,0.15999999999999998,-0.09999999999999998,0.1399999999999999,-0.07999999999999996,-0.6120977544488841,0.09594714817537442
28,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",50,0.42,0.64,0.72,3.2436885370708755,21.02,0.4468085106382978,0.42,0.4329896907216494,0.38,0.66,0.7,3.2880365396495104,24.94,0.3166666666666666,0.38,0.3454545454545454,0.44,0.7,0.72,2.990071824028178,21.96,0.4,0.44,0.419047619047619,0.03999999999999998,0.020000000000000018,-0.020000000000000018,0.05999999999999994,0.020000000000000018,0.0,-0.044348002578634915,-0.2536167130426974
29,n02113799,standard poodle,49,0.2244897959183673,0.5510204081632653,0.7142857142857143,3.692278101116455,13.551020408163266,0.2075471698113207,0.2244897959183673,0.2156862745098039,0.1224489795918367,0.4285714285714285,0.5306122448979592,4.2984156252544645,20.387755102040817,0.2608695652173913,0.1224489795918367,0.1666666666666666,0.2244897959183673,0.4489795918367347,0.6326530612244898,3.73319969161195,15.040816326530612,0.2558139534883721,0.2244897959183673,0.2391304347826086,0.10204081632653059,0.0,0.12244897959183676,-0.10204081632653056,0.18367346938775508,-0.08163265306122447,-0.6061375241380094,0.04092159049549471
