label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
60,n02669723,"academic gown, academic robe, judge's robe",49,0.46938775510204084,0.6326530612244898,0.7755102040816326,2.5797637261548276,0.3001360665862521,12.204081632653061,2.0,46,23,0.5,0.46938775510204084,0.4842105263157895
61,n02699494,altar,50,0.56,0.86,0.92,1.5647796229256608,0.44014600627529915,4.36,1.0,62,34,0.45161290322580644,0.56,0.5
62,n02730930,apron,50,0.24,0.62,0.76,3.0881019579850317,0.17843879554812658,11.3,3.0,64,52,0.1875,0.24,0.21052631578947367
63,n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",50,0.46,0.72,0.78,2.7100446186379377,0.23515047561304275,9.88,2.5,87,64,0.26436781609195403,0.46,0.33576642335766427
64,n02788148,"bannister, banister, balustrade, balusters, handrail",47,0.1276595744680851,0.3617021276595745,0.5531914893617021,4.213869081918177,0.07442608044664041,20.574468085106382,8.0,34,28,0.17647058823529413,0.1276595744680851,0.14814814814814814
65,n02791270,barbershop,46,0.21739130434782608,0.4782608695652174,0.7391304347826086,3.615455928323821,0.14071205529437297,17.108695652173914,6.0,45,35,0.2222222222222222,0.21739130434782608,0.2197802197802198
66,n02793495,barn,48,0.4791666666666667,0.7083333333333334,0.7708333333333334,2.5136891527980034,0.3453787232302541,12.5625,2.0,54,31,0.42592592592592593,0.4791666666666667,0.4509803921568628
67,n02795169,"barrel, cask",48,0.16666666666666666,0.2708333333333333,0.4791666666666667,4.427231505509167,0.09087689858196986,23.291666666666668,12.5,22,14,0.36363636363636365,0.16666666666666666,0.2285714285714286
68,n02802426,basketball,48,0.625,0.7916666666666666,0.8125,1.8697537572099332,0.5081431428018295,10.875,1.0,76,46,0.39473684210526316,0.625,0.48387096774193544
69,n02808440,"bathtub, bathing tub, bath, tub",49,0.30612244897959184,0.5102040816326531,0.6938775510204082,3.3472979506069658,0.20735225548932823,16.163265306122447,5.0,48,33,0.3125,0.30612244897959184,0.30927835051546393
70,n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",50,0.3,0.76,0.82,2.8694109393866016,0.23013585695625477,17.94,2.0,38,23,0.39473684210526316,0.3,0.34090909090909094
71,n02814860,"beacon, lighthouse, beacon light, pharos",50,0.58,0.82,0.86,1.8491629837438242,0.4262036740193635,5.3,1.0,66,37,0.4393939393939394,0.58,0.5
72,n02815834,beaker,49,0.32653061224489793,0.6326530612244898,0.7755102040816326,2.731691042236224,0.27048646554001504,12.46938775510204,3.0,62,46,0.25806451612903225,0.32653061224489793,0.28828828828828834
73,n02823428,beer bottle,50,0.26,0.54,0.62,3.3684790400231956,0.1554862443465272,13.82,5.0,47,34,0.2765957446808511,0.26,0.268041237113402
74,n02837789,"bikini, two-piece",46,0.45652173913043476,0.6739130434782609,0.782608695652174,2.3831808602217888,0.34633182787041766,10.326086956521738,2.0,56,35,0.375,0.45652173913043476,0.41176470588235287
75,n02841315,"binoculars, field glasses, opera glasses",48,0.14583333333333334,0.5,0.6041666666666666,4.059390362016143,0.08029571839900583,19.75,5.5,45,38,0.15555555555555556,0.14583333333333334,0.15053763440860213
76,n02843684,birdhouse,50,0.2,0.44,0.68,3.579569618975626,0.1125799496212895,12.16,7.0,25,15,0.4,0.2,0.26666666666666666
77,n02883205,"bow tie, bow-tie, bowtie",47,0.0851063829787234,0.44680851063829785,0.5531914893617021,4.1587539490447885,0.07248869276385175,19.80851063829787,10.0,35,31,0.11428571428571428,0.0851063829787234,0.09756097560975609
78,n02892201,"brass, memorial tablet, plaque",49,0.6938775510204082,0.7959183673469388,0.8163265306122449,1.602748542726483,0.6176393146456337,8.204081632653061,1.0,54,20,0.6296296296296297,0.6938775510204082,0.6601941747572815
79,n02906734,broom,47,0.14893617021276595,0.3617021276595745,0.425531914893617,4.461609675577196,0.08920960297878722,21.95744680851064,13.0,26,19,0.2692307692307692,0.14893617021276595,0.1917808219178082
80,n02909870,"bucket, pail",49,0.12244897959183673,0.22448979591836735,0.5510204081632653,4.4438966376813145,0.06366651745228956,21.081632653061224,10.0,33,27,0.18181818181818182,0.12244897959183673,0.14634146341463417
81,n02917067,"bullet train, bullet",50,0.72,0.84,0.86,1.4587622408342182,0.6091042824393158,9.94,1.0,54,18,0.6666666666666666,0.72,0.6923076923076923
82,n02927161,"butcher shop, meat market",50,0.42,0.7,0.74,2.663129511606725,0.34089253855059903,12.32,2.0,50,29,0.42,0.42,0.41999999999999993
83,n02948072,"candle, taper, wax light",49,0.20408163265306123,0.40816326530612246,0.5510204081632653,3.506182940350126,0.16577898090832333,15.959183673469388,10.0,38,28,0.2631578947368421,0.20408163265306123,0.22988505747126436
84,n02950826,cannon,49,0.1836734693877551,0.46938775510204084,0.5918367346938775,4.060715792298798,0.11960111810835386,22.224489795918366,6.0,28,19,0.32142857142857145,0.1836734693877551,0.23376623376623376
85,n02963159,cardigan,50,0.38,0.62,0.66,2.626544600870493,0.22574653564894814,8.64,2.0,64,45,0.296875,0.38,0.3333333333333333
86,n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",50,0.32,0.76,0.8,2.4283980770865568,0.26309898945283,7.72,2.0,50,34,0.32,0.32,0.32
87,n02988304,CD player,48,0.375,0.6458333333333334,0.7083333333333334,2.863997878704905,0.2597602638939687,15.125,3.0,52,34,0.34615384615384615,0.375,0.35999999999999993
88,n02999410,chain,49,0.061224489795918366,0.42857142857142855,0.5510204081632653,4.089503570353592,0.0659868930209369,16.79591836734694,9.0,22,19,0.13636363636363635,0.061224489795918366,0.08450704225352113
89,n03014705,chest,50,0.36,0.52,0.66,3.3118083707066392,0.2602455934976676,18.96,3.0,43,25,0.4186046511627907,0.36,0.38709677419354843
90,n03026506,Christmas stocking,50,0.52,0.74,0.78,2.0875686838482634,0.39658720796658414,7.3,1.0,78,52,0.3333333333333333,0.52,0.40625000000000006
91,n03042490,cliff dwelling,50,0.52,0.66,0.76,2.4042272821742516,0.4193413753841716,11.28,1.0,54,28,0.48148148148148145,0.52,0.5
92,n03085013,"computer keyboard, keypad",50,0.2,0.46,0.54,3.938017527594305,0.12242149290517962,20.4,7.5,31,21,0.3225806451612903,0.2,0.24691358024691357
93,n03089624,"confectionery, confectionary, candy store",50,0.44,0.7,0.8,2.3843797772457216,0.3753284968871601,10.7,2.0,45,23,0.4888888888888889,0.44,0.4631578947368421
94,n03100240,convertible,49,0.42857142857142855,0.7959183673469388,0.8979591836734694,2.1427311876654125,0.319337751662442,7.653061224489796,2.0,51,30,0.4117647058823529,0.42857142857142855,0.42
95,n03126707,crane,48,0.3333333333333333,0.625,0.7708333333333334,2.8971255976567503,0.23101510441329398,11.166666666666666,3.0,51,35,0.3137254901960784,0.3333333333333333,0.32323232323232326
96,n03160309,"dam, dike, dyke",47,0.3404255319148936,0.5957446808510638,0.7446808510638298,3.0602906815333726,0.19711592563156904,10.085106382978724,4.0,48,32,0.3333333333333333,0.3404255319148936,0.3368421052631579
97,n03179701,desk,49,0.32653061224489793,0.5714285714285714,0.6938775510204082,3.0555435693754154,0.23416804631976962,16.448979591836736,4.0,54,38,0.2962962962962963,0.32653061224489793,0.31067961165048547
98,n03201208,"dining table, board",50,0.4,0.56,0.66,2.7929299061147783,0.32201916264410263,15.38,2.5,59,39,0.3389830508474576,0.4,0.3669724770642202
99,n03250847,drumstick,49,0.1836734693877551,0.3877551020408163,0.5306122448979592,4.078413096411758,0.11728370654220187,23.244897959183675,10.0,38,29,0.23684210526315788,0.1836734693877551,0.20689655172413793
100,n03255030,dumbbell,46,0.17391304347826086,0.32608695652173914,0.5,4.002294964387517,0.07667723319635099,15.934782608695652,10.5,25,17,0.32,0.17391304347826086,0.22535211267605634
