label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
64,n02788148,"bannister, banister, balustrade, balusters, handrail",47,0.10638297872340426,0.44680851063829785,0.5106382978723404,3.9733477797475913,0.08406046331334548,19.4468085106383,10.0,28,23,0.17857142857142858,0.10638297872340426,0.13333333333333333
65,n02791270,barbershop,46,0.1956521739130435,0.5217391304347826,0.6521739130434783,3.2166313997159763,0.16311440612661604,14.108695652173912,4.5,44,35,0.20454545454545456,0.1956521739130435,0.2
66,n02793495,barn,48,0.5,0.7916666666666666,0.8541666666666666,2.069959479713593,0.37683714712347965,8.625,1.5,49,25,0.4897959183673469,0.5,0.4948453608247423
67,n02795169,"barrel, cask",48,0.20833333333333334,0.375,0.5833333333333334,3.983225516564918,0.10560426737752289,20.145833333333332,9.0,36,26,0.2777777777777778,0.20833333333333334,0.2380952380952381
68,n02802426,basketball,48,0.6666666666666666,0.7916666666666666,0.8125,1.8481999801673628,0.4920690563022399,10.5,1.0,69,37,0.463768115942029,0.6666666666666666,0.5470085470085471
69,n02808440,"bathtub, bathing tub, bath, tub",49,0.32653061224489793,0.5306122448979592,0.7551020408163265,2.9616874565216142,0.2157964174542756,11.061224489795919,4.0,45,29,0.35555555555555557,0.32653061224489793,0.3404255319148936
70,n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",50,0.36,0.78,0.84,2.695588526079656,0.25627317176520065,17.12,2.0,45,27,0.4,0.36,0.3789473684210526
71,n02814860,"beacon, lighthouse, beacon light, pharos",50,0.66,0.8,0.86,1.651383242948303,0.46667120971697307,5.84,1.0,65,32,0.5076923076923077,0.66,0.5739130434782608
72,n02815834,beaker,49,0.32653061224489793,0.673469387755102,0.7959183673469388,2.580367183308557,0.24103213395354905,10.306122448979592,3.0,45,29,0.35555555555555557,0.32653061224489793,0.3404255319148936
73,n02823428,beer bottle,50,0.32,0.62,0.7,3.0528780674135585,0.17893095385880325,12.02,2.5,47,31,0.3404255319148936,0.32,0.32989690721649484
74,n02837789,"bikini, two-piece",46,0.45652173913043476,0.7391304347826086,0.8478260869565217,2.161433643971866,0.3361738408792649,7.5,2.0,43,22,0.4883720930232558,0.45652173913043476,0.47191011235955055
75,n02841315,"binoculars, field glasses, opera glasses",48,0.14583333333333334,0.5,0.6458333333333334,3.5779396344516834,0.10103939514700515,16.083333333333332,5.5,29,22,0.2413793103448276,0.14583333333333334,0.18181818181818185
76,n02843684,birdhouse,50,0.2,0.58,0.64,3.306877261887446,0.12150693351753816,12.0,4.0,23,13,0.43478260869565216,0.2,0.273972602739726
77,n02883205,"bow tie, bow-tie, bowtie",47,0.14893617021276595,0.40425531914893614,0.5531914893617021,3.8854073403622573,0.0838555010954375,17.02127659574468,7.0,31,24,0.22580645161290322,0.14893617021276595,0.17948717948717946
78,n02892201,"brass, memorial tablet, plaque",49,0.7346938775510204,0.7959183673469388,0.8163265306122449,1.5399021219026148,0.6057621853204149,8.204081632653061,1.0,56,20,0.6428571428571429,0.7346938775510204,0.6857142857142857
79,n02906734,broom,47,0.19148936170212766,0.2978723404255319,0.5319148936170213,4.097650034843481,0.10825323174188435,20.574468085106382,9.0,26,17,0.34615384615384615,0.19148936170212766,0.2465753424657534
80,n02909870,"bucket, pail",49,0.10204081632653061,0.24489795918367346,0.4897959183673469,4.318036193412295,0.06386524101739585,20.0,11.0,29,24,0.1724137931034483,0.10204081632653061,0.12820512820512822
81,n02917067,"bullet train, bullet",50,0.78,0.88,0.88,1.230600021666143,0.6544452176752986,8.84,1.0,58,19,0.6724137931034483,0.78,0.7222222222222223
82,n02927161,"butcher shop, meat market",50,0.56,0.74,0.82,2.2505056185146186,0.3809979401178352,11.16,1.0,57,29,0.49122807017543857,0.56,0.5233644859813084
83,n02948072,"candle, taper, wax light",49,0.2857142857142857,0.5102040816326531,0.6122448979591837,3.1865764524617246,0.1856499885719549,13.46938775510204,5.0,45,31,0.3111111111111111,0.2857142857142857,0.29787234042553196
84,n02950826,cannon,49,0.24489795918367346,0.5102040816326531,0.5918367346938775,3.6733585822784094,0.14353535842071982,19.653061224489797,5.0,31,19,0.3870967741935484,0.24489795918367346,0.3
85,n02963159,cardigan,50,0.44,0.62,0.7,2.5275605914743315,0.2547148171238655,9.2,2.0,53,31,0.41509433962264153,0.44,0.42718446601941745
86,n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",50,0.36,0.76,0.84,2.0490451287122027,0.30080313225388056,5.54,2.0,50,32,0.36,0.36,0.36
87,n02988304,CD player,48,0.3958333333333333,0.625,0.7291666666666666,2.7634158445428354,0.2728243473882394,13.916666666666666,3.0,45,26,0.4222222222222222,0.3958333333333333,0.40860215053763443
88,n02999410,chain,49,0.10204081632653061,0.3469387755102041,0.5306122448979592,3.859051436252497,0.06790774341152729,13.795918367346939,8.0,24,19,0.20833333333333334,0.10204081632653061,0.136986301369863
89,n03014705,chest,50,0.4,0.62,0.7,3.1453792911509844,0.26535211244173046,15.92,3.0,43,23,0.46511627906976744,0.4,0.4301075268817204
90,n03026506,Christmas stocking,50,0.58,0.76,0.8,2.0104415861110176,0.41858895967703835,8.6,1.0,76,47,0.3815789473684211,0.58,0.4603174603174603
91,n03042490,cliff dwelling,50,0.5,0.66,0.76,2.2732432552980066,0.443382674747261,11.78,1.5,51,26,0.49019607843137253,0.5,0.495049504950495
92,n03085013,"computer keyboard, keypad",50,0.3,0.52,0.58,3.56130678014079,0.1572496541090128,17.02,4.5,32,17,0.46875,0.3,0.36585365853658536
93,n03089624,"confectionery, confectionary, candy store",50,0.44,0.74,0.84,2.149916373603265,0.3698334764276575,8.96,2.0,47,25,0.46808510638297873,0.44,0.4536082474226804
